poemId,topics,topicWords
1,"2,4,5","""光, 箋, 金""，""鄭重""，""揮灑, 雲霞"""
2,"2,0,1","""天, 山, 晴, 暮, 樹, 歸, 蟬""，""瑞彩, 遠浦""，""林, 鳥"""
3,"3,2,1,0","""初夏, 庭前, 歲月, 池畔, 轉眼""，""新, 落花, 風""，""魚""，""門外"""
4,"4,2,3,0,1","""芙蕖""，""夕陽, 妒, 歌聲, 芬芳, 雨, 風, 香""，""國色, 官, 翻新""，""綽約, 花叢, 輕盈""，""妝"""
5,"4,3,2,5","""窗外""，""玉鉤, 白光, 秋色, 萬象""，""冷, 山, 影, 雲, 風""，""碧池"""
6,"2,1","""人, 冷, 娘, 婦, 秋, 苔, 風""，""感, 闌"""
7,"1,2,0,4","""生""，""新, 水, 浪""，""雞""，""雁"""
8,"2,3,1","""君, 新, 獨, 美人, 芙蓉, 風""，""濃淡, 艷色""，""妝, 斜陽"""
9,"4,2,1","""滂沱, 良夜, 蛙, 雨氣""，""人, 冷, 和, 夢, 竹""，""客, 蕭蕭"""
10,"5,2,0,4,1","""天際""，""光, 晴空, 暮, 樹, 花, 連雲, 雨""，""憑欄, 翠霞""，""殘照, 長笛""，""鳥"""
11,"5,2,3,1","""天際, 遙望""，""光, 冷, 山, 影, 情, 泉, 無限, 石, 童, 雲""，""秋色""，""林, 鳥"""
12,"5,1,0,2,4","""蒼茫""，""岫""，""水際, 瑞彩, 縹渺""，""天, 波光""，""銀河"""
13,"0,5,2,1","""孤帆, 紅葉""，""天際, 極目""，""夕陽, 水, 火, 秋, 翠, 茫茫, 雲""，""林, 江, 漁"""
14,"2,0,3,1,5","""光, 夕陽, 晴空, 樹, 歸""，""影射""，""楊枝""，""寒, 荒山, 鳥, 鴻""，""江天"""
15,"5,2","""孤舟, 瀟瀟""，""人, 夢, 新, 暮, 花, 飄泊, 魂"""
16,"1,2","""林, 落葉, 鴻""，""二月, 和, 天, 思, 樹, 秋, 花, 風"""
17,"2,4","""光, 天, 秋水""，""涼風, 滿目"""
18,"5,2,1","""天際, 山秋, 橫空, 露珠""，""光, 影, 樹, 笛""，""鴉"""
19,"4,2,1","""寒煙, 漁笛""，""夕陽, 山, 樹, 歸, 浪""，""客, 鴉"""
20,"2,5,1","""夕陽, 天, 急, 扁舟, 水, 火, 秋, 雲, 魂""，""天際""，""寒, 帆, 漁, 野渡, 靑山, 鴻"""
21,"2,5,0,4","""天, 新, 春, 歸, 細雨, 蝶, 階, 香""，""柳綠, 落暉""，""梅, 馥馥""，""雁"""
22,"1,0,2,5","""檢點""，""夜露, 玲瓏, 花叢, 錯落""，""妒, 新, 東風, 淚, 玉, 珠, 翠, 香""，""枝頭"""
23,"2,1","""影, 眉, 簾, 花, 雲, 風, 香""，""參差, 碧水"""
24,"1,3,2","""畏, 窗前, 關山""，""庭花""，""人, 心, 思, 愁, 明月, 柔腸, 無限, 香"""
25,"5,2,0","""幽境, 極目, 聞聲, 萌芽, 郊外""，""春, 柳, 花""，""馬蹄"""
26,"2,1","""天, 庾嶺, 春, 曲徑, 杜宇, 柳, 草色, 韶華""，""寒, 變遷, 零落"""
27,"2,4,3,1,0","""人, 妒, 花, 風雨, 香""，""錦繡""，""狼藉, 馥郁""，""可憐, 徘徊, 綠苔""，""塵埃"""
28,"4,2","""新燕""，""夢, 寒食, 影, 春, 柳, 泥, 簾, 落花, 香"""
29,"1,2,5","""春色""，""恨, 愁, 新, 楊柳, 歸, 絲絲, 翠, 舊, 雨""，""孤舟, 煙籠, 縷縷"""
30,"5,2,3","""超然""，""仙, 山, 心, 焚香""，""天籟"""
31,"2,0,1","""悲, 情, 暑, 蟬, 雲""，""秋意""，""風聲"""
