词语,频率
花,1562
風,1230
雲,1170
月,1156
春,1112
香,1095
夢,1058
愁,1004
秋,816
寒,806
雨,784
夜,727
影,714
歸,661
思,656
山,617
樹,546
情,545
吟,518
窗,513
詩,506
露,505
書,504
煙,495
酒,490
遠,489
閒,483
冷,480
離,448
家,437
憐,435
獨,422
霜,416
淚,415
雪,398
客,395
畫,391
涼,380
魂,373
懷,365
笑,356
女,348
燈,337
塵,333
恨,308
雁,297
華,293
葉,293
竹,289
復,279
柳,279
病,274
門,270
燕,267
靜,266
蘭,261
孤,254
江,253
苦,252
瘦,248
仙,244
東風,239
醉,238
鳴,238
悲,235
烟,230
疑,226
愛,223
易,223
西風,219
天涯,219
親,217
眉,214
鳥,213
春風,211
催,211
眠,211
妝,209
梅,206
海,206
苔,201
惜,198
冰,198
龍,194
羅,189
鶴,187
學,187
說,184
可憐,184
星,184
合,184
夕陽,182
闌,182
明月,180
賦,178
景,175
折,171
兒,170
掩,170
音,169
魚,168
閣,167
手,167
梅花,167
閨,166
靈,166
泉,164
鬢,164
飄,163
相思,163
骨,160
樂,159
松,158
尺,157
夕,157
緣,156
須,155
霞,154
江南,153
映,152
絮,151
舟,149
臺,149
帆,149
住,148
風雨,148
豔,147
征,140
蝶,139
怨,139
著,139
鳳,135
琴,133
念,133
裹,131
齊,131
晝,130
辭,130
墨,130
千里,129
圓,128
指,128
圖,127
鸞,127
死,126
紙,126
橋,126
馬,125
火,125
懸,125
芳草,124
浪,124
湖,122
貧,122
取,122
歡,121
吾,121
溪,118
母,118
鬟,118
睡,118
瓊,117
鴻,116
粧,116
峰,115
鼓,115
會,114
志,114
桃花,114
恐,114
詞,114
爾,114
昔,114
銷,114
霧,114
泣,112
屏,112
翦,112
步,111
白雲,111
燭,110
幸,109
停,109
秋風,109
荷,109
哀,108
欄,108
端,108
畔,107
回首,107
殊,107
謝,106
蓮,106
壓,105
漢,105
蕭蕭,105
蒼,105
堂,104
園,104
鴉,104
落花,104
船,103
帳,103
支,103
愧,103
當年,103
籬,102
芙蓉,102
釵,101
歸來,101
聊,100
楊,99
今日,99
蟲,99
籠,98
憂,98
潮,98
徧,98
烏,98
環,98
恩,98
淺,96
徒,96
良,95
守,95
河,94
纔,94
菊,94
盈,94
惆悵,94
無限,93
佳,93
杯,93
腸,93
歎,92
賢,92
羽,91
遍,91
國,91
茶,90
墜,90
閑,90
嗁,90
斜陽,90
人間,90
卽,89
迴,89
牆,89
美人,89
凍,89
傷心,88
繫,87
寂寂,87
儂,87
何時,86
盼,86
宮,86
春色,85
福,85
求,85
紗,84
縱,84
闌干,84
囘,84
稀,84
牀,84
爐,84
慣,83
兒女,83
買,83
年年,83
悵,83
簷,83
寐,82
越,82
斷腸,82
雅,82
雞,82
藥,82
觸,82
賞,81
懶,81
消息,81
承,80
流水,80
英,80
歇,80
春光,80
異,80
毫,80
昏,79
蓬,79
陽,79
桃,79
婦,79
溼,78
德,78
妙,78
帷,78
拈,77
寂寞,77
田,77
骨肉,77
命,77
人生,76
新詩,76
寸,76
目,76
遣,76
楊柳,76
酬,76
悄,76
黃昏,75
功,75
分明,75
工,75
土,75
刀,75
姑,75
卜,75
羨,74
增,74
裳,74
蟬,74
絃,74
玲瓏,73
壺,73
滅,73
索,73
珍重,72
慈,72
鄕,72
走,72
佩,72
肯,72
託,72
斗,72
拜,72
簫,72
茫茫,72
卧,72
無端,72
囊,72
餐,71
迢迢,71
幅,71
筵,71
海棠,71
輪,70
旣,70
無語,70
戀,70
煞,70
王,70
鄉,70
妒,70
肥,70
顧,70
燕子,70
蕭,69
師,69
鮮,69
羞,69
衾,69
胡,69
鴛鴦,69
緒,68
別離,68
鄰,68
落葉,68
砌,68
雛,68
幃,68
紛,67
料,67
繁華,67
供,67
軒,66
灰,66
無聲,66
閉,66
幾度,66
貴,66
沒,65
鷗,65
縈,65
阻,65
文章,65
熟,65
秦,65
加,65
天地,64
井,64
故鄉,64
釀,64
塘,64
千古,63
煩,63
徘徊,63
關山,63
惹,62
萍,62
庭院,62
遞,62
盈盈,62
元,62
嫌,62
扉,62
贈,62
