Word,Frequency
愁,731
月,892
松,109
夢,839
淚,303
美人,69
東風,173
桃李,36
珍重,48
霜,296
獨立,24
閒,351
玲瓏,44
春風,153
寒,640
秋,682
梅花,160
春,930
烽火,20
天上,40
花,1377
寂寥,38
未必,15
可憐,135
江南,122
雨,613
歸舟,12
明月,159
思,550
長安,35
天涯,152
西風,161
梅,168
遙望,18
依舊,39
蘭,196
草堂,25
落葉,60
樂,133
紅葉,15
蘆花,19
夫人,34
人間,66
芙蓉,78
相思,80
蘭閨,14
傷,124
雙星,18
風景,40
秋風,82
孤,195
秋色,41
昨夜,38
百年,28
今宵,20
長空,26
骨肉,32
桃花,94
無聊,23
春光,75
自古,12
搖曳,10
苦,180
別離,45
德,60
歎息,17
蕭蕭,69
文章,45
慈母,12
顏色,40
讀書,28
細雨,46
囘首,18
往事,34
才華,18
故國,23
瘦影,32
病,202
消瘦,13
人影,19
慘淡,3
柳絮,27
平生,31
心情,11
仙人,22
微風,23
落花,87
蛟龍,17
風流,39
縱橫,17
流水,66
屈指,14
夕陽,135
極目,29
竹,218
握手,16
死,109
煙雨,11
遠山,20
此時,25
胭脂,19
奈何,9
阿母,15
相憐,12
寄語,25
詩人,24
娉婷,18
燕子,53
波光,17
回頭,16
輕舟,19
殘月,27
瀟瀟,25
两地,7
度日,2
相憶,19
南山,18
羗笛,3
蕭瑟,35
漁家,3
渡口,5
西泠,6
疎影,11
幽怨,7
荒草,4
芳菲,24
冷落,6
抑鬱,4
别緒,3
纏緜,8
薄命,18
昔年,18
輕寒,18
清涼,11
詩書,33
月色,23
萋萋,23
由來,16
枝頭,39
天真,13
晚風,24
故園,38
寒月,17
悲,181
浮生,14
家鄉,19
明日,14
笙歌,22
朦朧,21
金錢,21
丈夫,14
梧桐,44
流鶯,22
玉樹,20
東皇,15
滄海,15
百花,19
異地,12
茅屋,18
不惜,12
芭蕉,31
夜夜,21
佳人,26
落紅,15
悄然,13
將軍,16
不復,19
幾時,28
瑤琴,20
團圞,14
故人,28
早春,19
樹影,17
可惜,15
黄昏,13
秦淮,16
